date,value
17-Apr-17,"27,110"
20-Jan-16,"27,112"
1-Mar-16,"27,112"
8-Apr-16,"27,113"
20-Dec-16,"27,114"
20-Jan-17,"27,114"
31-Jul-17,"27,114"
29-Jul-16,"27,117"
10-Aug-16,"27,117"
29-Nov-16,"27,120"
25-May-16,"27,122"
27-May-16,"27,123"
26-Jan-16,"27,128"
7-Aug-16,"27,129"
28-Jun-16,"27,131"
11-Oct-17,"27,134"
7-Apr-16,"27,136"
30-Jan-17,"27,138"
14-Oct-16,"27,139"
2-Jul-16,"27,140"
3-Aug-16,"27,140"
20-Aug-17,"27,140"
25-Mar-16,"27,141"
2-Aug-17,"27,142"
28-Dec-15,"27,143"
5-May-17,"27,143"
8-Sep-16,"27,146"
9-Nov-17,"27,146"
22-Jan-17,"27,147"
11-Oct-16,"27,148"
13-May-17,"27,148"
20-Oct-16,"27,150"
7-Nov-17,"27,151"
6-Aug-16,"27,154"
15-May-16,"27,155"
26-Nov-16,"27,156"
7-Jan-17,"27,159"
3-Oct-15,"27,160"
4-Feb-17,"27,161"
18-Jun-16,"27,162"
22-Mar-17,"27,163"
29-Aug-16,"27,171"
20-Apr-17,"27,171"
6-Feb-17,"27,172"
30-May-17,"27,172"
5-Dec-17,"27,173"
10-Nov-15,"27,176"
24-Nov-17,"27,179"
28-Sep-17,"27,181"
3-May-17,"27,182"
3-Jul-17,"27,182"
15-Jun-16,"27,183"
21-Oct-16,"27,183"
16-Mar-16,"27,191"
23-Dec-16,"27,191"
20-Feb-17,"27,192"
4-Apr-17,"27,192"
8-Jun-17,"27,192"
8-Aug-16,"27,193"
25-Sep-16,"27,193"
20-Apr-16,"27,195"
2-Oct-16,"27,197"
10-Apr-17,"27,197"
10-Jul-17,"27,197"
22-Apr-17,"27,199"
18-Aug-17,"27,199"
4-Apr-16,"27,200"
19-May-17,"27,201"
4-Mar-16,"27,204"
17-Sep-16,"27,205"
26-Aug-16,"27,207"
23-Oct-16,"27,207"
4-Aug-16,"27,210"
16-Jun-17,"27,210"
18-Dec-16,"27,211"
24-Oct-16,"27,214"
13-May-16,"27,218"
19-Nov-16,"27,218"
29-Apr-17,"27,219"
3-Jan-16,"27,221"
30-Oct-16,"27,221"
2-Apr-16,"27,222"
25-Oct-16,"27,224"
17-May-16,"27,226"
13-Jul-16,"27,226"
11-Jan-17,"27,226"
1-Jul-16,"27,234"
14-Sep-16,"27,234"
25-Nov-16,"27,234"
27-Feb-17,"27,234"
5-Aug-17,"27,237"
1-Oct-16,"27,238"
8-Oct-16,"27,238"
7-Aug-17,"27,240"
9-Apr-16,"27,242"
3-Apr-16,"27,243"
23-Sep-16,"27,246"
18-May-16,"27,247"
18-Feb-16,"27,248"
25-Jun-16,"27,248"
4-Nov-16,"27,250"
1-Jun-17,"27,250"
7-Feb-17,"27,251"
25-Jan-16,"27,252"
10-Aug-17,"27,253"
25-Aug-16,"27,255"
26-Dec-16,"27,257"
7-Sep-16,"27,260"
22-Dec-16,"27,261"
16-Jan-17,"27,261"
12-May-17,"27,261"
29-Jun-16,"27,263"
13-Oct-16,"27,263"
8-Jun-16,"27,265"
15-Jul-16,"27,266"
13-Jan-17,"27,267"
17-May-17,"27,268"
1-May-17,"27,273"
19-Apr-16,"27,275"
7-Dec-16,"27,275"
22-Jun-17,"27,275"
7-May-17,"27,278"
24-Aug-16,"27,280"
15-Sep-16,"27,281"
21-Sep-16,"27,281"
11-Mar-17,"27,281"
27-Jun-16,"27,282"
28-Jan-17,"27,283"
30-Sep-16,"27,284"
16-Oct-16,"27,284"
4-Sep-16,"27,288"
11-May-16,"27,289"
17-Dec-16,"27,292"
12-Jun-17,"27,293"
16-Jul-17,"27,294"
22-Nov-17,"27,294"
24-Dec-17,"27,296"
29-Mar-17,"27,298"
17-Jun-17,"27,303"
8-Mar-17,"27,305"
13-Mar-17,"27,305"
10-Sep-16,"27,308"
29-Jun-17,"27,308"
11-Feb-17,"27,310"
10-May-17,"27,312"
26-Mar-17,"27,314"
27-Oct-16,"27,315"
4-Jan-17,"27,315"
19-Mar-17,"27,318"
22-Jul-16,"27,324"
25-Dec-17,"27,326"
11-Jul-16,"27,329"
5-Jan-17,"27,329"
2-May-17,"27,329"
6-Apr-16,"27,332"
28-Aug-16,"27,332"
30-Nov-16,"27,332"
13-Aug-17,"27,332"
29-Jul-17,"27,336"
12-Dec-16,"27,339"
22-Jun-16,"27,342"
23-Mar-17,"27,342"
9-Aug-16,"27,343"
25-Dec-16,"27,343"
1-May-16,"27,344"
22-May-16,"27,344"
22-Feb-17,"27,346"
8-Jul-17,"27,348"
3-Nov-16,"27,352"
1-Jan-17,"27,352"
12-Nov-17,"27,352"
21-Sep-17,"27,353"
3-Sep-16,"27,354"
26-Feb-17,"27,354"
11-Apr-17,"27,356"
15-May-17,"27,357"
26-Jul-17,"27,357"
3-Jul-16,"27,358"
5-Jun-16,"27,360"
18-Oct-16,"27,360"
2-Apr-17,"27,360"
2-Feb-17,"27,364"
28-Feb-17,"27,364"
16-May-16,"27,366"
22-Sep-16,"27,368"
14-Mar-17,"27,368"
22-Aug-16,"27,373"
26-May-16,"27,374"
17-Jan-17,"27,374"
13-Feb-16,"27,375"
9-Sep-17,"27,375"
17-Nov-17,"27,377"
5-Nov-17,"27,378"
14-Jun-16,"27,380"
25-Jan-17,"27,380"
16-Aug-17,"27,381"
22-Oct-17,"27,382"
11-Jun-16,"27,383"
31-Oct-16,"27,384"
8-Oct-17,"27,386"
3-Mar-17,"27,388"
8-May-17,"27,388"
3-Oct-16,"27,389"
22-Nov-16,"27,389"
25-May-17,"27,390"
20-Jun-16,"27,391"
14-Jun-17,"27,391"
21-Aug-16,"27,392"
15-Oct-16,"27,392"
26-Jan-17,"27,392"
22-Jan-16,"27,393"
8-Feb-16,"27,394"
4-Jun-16,"27,394"
23-Jun-17,"27,394"
29-Sep-17,"27,395"
27-Sep-16,"27,396"
7-Dec-17,"27,396"
25-Jun-17,"27,397"
20-Nov-16,"27,399"
8-Nov-16,"27,400"
28-Oct-16,"27,401"
11-Mar-16,"27,402"
1-Aug-17,"27,402"
21-Mar-17,"27,403"
5-Sep-17,"27,403"
10-Nov-16,"27,404"
10-Mar-17,"27,405"
7-Jun-17,"27,408"
26-Jun-17,"27,409"
27-Jul-17,"27,414"
8-Dec-16,"27,415"
28-Jul-17,"27,416"
15-Apr-17,"27,417"
3-Nov-17,"27,419"
30-Aug-16,"27,420"
1-Jun-16,"27,422"
7-Jul-17,"27,423"
28-Nov-16,"27,425"
14-Aug-16,"27,426"
28-Dec-17,"27,427"
16-Jun-16,"27,429"
24-Feb-17,"27,431"
28-Jul-16,"27,433"
5-Mar-17,"27,434"
12-Apr-17,"27,434"
1-Sep-17,"27,438"
16-Dec-17,"27,438"
7-Apr-17,"27,441"
15-Feb-17,"27,442"
3-Feb-17,"27,445"
18-Jul-17,"27,448"
18-Jul-16,"27,449"
30-Mar-17,"27,450"
6-Oct-16,"27,451"
23-Aug-17,"27,451"
28-Sep-16,"27,452"
1-Feb-17,"27,452"
8-Jul-16,"27,453"
6-May-17,"27,453"
18-May-17,"27,453"
30-Aug-17,"27,453"
9-Jul-17,"27,455"
8-Sep-17,"27,455"
10-Nov-17,"27,457"
14-Apr-17,"27,460"
15-Aug-17,"27,461"
4-Oct-17,"27,461"
17-Jul-16,"27,464"
9-Jan-17,"27,464"
26-Jun-16,"27,465"
23-May-17,"27,465"
17-Apr-16,"27,468"
21-Oct-17,"27,468"
5-Nov-16,"27,471"
2-Nov-16,"27,475"
29-Dec-17,"27,475"
24-Oct-17,"27,476"
18-Apr-17,"27,478"
24-Jan-17,"27,479"
29-Aug-17,"27,479"
24-Dec-16,"27,481"
28-Oct-17,"27,481"
3-Sep-17,"27,487"
4-Sep-17,"27,487"
21-May-17,"27,490"
24-May-17,"27,492"
27-Oct-17,"27,493"
27-Jan-17,"27,495"
22-Jul-17,"27,495"
25-Oct-17,"27,495"
4-Aug-17,"27,496"
10-Feb-16,"27,497"
27-Dec-16,"27,497"
30-Nov-17,"27,501"
14-May-17,"27,505"
17-Dec-17,"27,505"
31-Oct-17,"27,506"
10-Dec-16,"27,508"
31-Dec-16,"27,508"
18-Feb-17,"27,509"
4-Mar-17,"27,510"
23-Apr-17,"27,510"
4-Jul-17,"27,510"
8-Aug-17,"27,511"
20-Aug-16,"27,516"
7-Oct-16,"27,517"
15-Dec-17,"27,517"
10-Feb-17,"27,519"
9-Oct-17,"27,519"
27-Aug-17,"27,520"
25-Apr-17,"27,523"
19-Sep-17,"27,523"
15-Nov-16,"27,525"
5-Jul-17,"27,526"
17-Oct-16,"27,527"
7-Sep-17,"27,527"
2-Sep-17,"27,530"
21-Apr-17,"27,531"
21-Jul-17,"27,531"
13-Sep-16,"27,532"
20-May-17,"27,533"
1-Feb-16,"27,536"
30-Jul-16,"27,537"
26-Oct-17,"27,538"
18-Jan-17,"27,540"
20-Nov-17,"27,541"
1-Aug-16,"27,545"
29-Oct-17,"27,545"
28-Nov-17,"27,547"
14-Jul-17,"27,548"
21-Aug-17,"27,548"
24-Mar-17,"27,550"
18-Apr-16,"27,553"
24-Aug-17,"27,553"
24-Nov-16,"27,557"
4-Dec-17,"27,559"
19-Apr-17,"27,560"
23-Dec-17,"27,563"
26-Apr-17,"27,564"
13-Dec-16,"27,566"
5-Jun-17,"27,566"
3-Jan-17,"27,568"
14-Nov-17,"27,569"
15-Dec-16,"27,573"
23-Jul-16,"27,574"
28-Dec-16,"27,574"
2-Jun-17,"27,575"
21-Nov-16,"27,577"
14-Dec-16,"27,578"
22-Sep-17,"27,578"
6-Dec-16,"27,579"
12-Jun-16,"27,580"
11-Aug-17,"27,580"
24-Apr-16,"27,585"
13-Apr-17,"27,585"
9-Apr-17,"27,586"
2-Jan-17,"27,588"
15-Jul-17,"27,590"
25-Feb-17,"27,595"
9-Nov-16,"27,596"
28-Mar-17,"27,596"
24-Jul-17,"27,596"
10-Oct-16,"27,597"
28-Jun-17,"27,597"
23-Aug-16,"27,598"
21-Dec-16,"27,601"
27-Apr-17,"27,602"
3-Apr-17,"27,605"
26-May-17,"27,605"
29-Dec-16,"27,606"
13-Nov-17,"27,607"
27-Sep-17,"27,610"
8-Apr-17,"27,613"
19-Jun-17,"27,616"
12-Sep-17,"27,620"
16-Sep-17,"27,620"
17-Jul-17,"27,625"
30-Oct-17,"27,625"
12-Oct-17,"27,627"
15-Oct-17,"27,635"
15-Jan-17,"27,637"
17-Oct-17,"27,637"
9-Sep-16,"27,639"
2-Dec-17,"27,639"
29-Nov-17,"27,640"
30-Jun-17,"27,641"
14-Oct-17,"27,641"
26-Oct-16,"27,642"
19-Dec-17,"27,643"
15-Jun-17,"27,648"
20-Jun-17,"27,650"
12-Jul-17,"27,653"
5-Oct-17,"27,653"
15-Sep-17,"27,656"
1-Mar-17,"27,658"
9-Feb-17,"27,660"
27-Jul-16,"27,662"
11-Dec-17,"27,669"
4-May-17,"27,671"
21-Jun-17,"27,674"
15-Nov-17,"27,674"
5-Oct-16,"27,675"
11-Nov-17,"27,678"
21-Nov-17,"27,679"
6-Nov-17,"27,680"
17-Mar-17,"27,681"
19-Nov-17,"27,683"
2-Nov-17,"27,684"
21-Feb-17,"27,685"
23-Sep-17,"27,687"
10-Dec-17,"27,690"
20-Oct-17,"27,691"
29-Jan-17,"27,692"
13-Jun-17,"27,692"
6-Aug-17,"27,695"
12-Feb-17,"27,697"
13-Dec-17,"27,697"
11-May-17,"27,703"
13-Jul-17,"27,703"
6-Dec-17,"27,705"
25-Sep-17,"27,706"
31-Mar-17,"27,711"
31-May-17,"27,717"
4-Jun-17,"27,720"
27-Mar-17,"27,723"
19-Jul-17,"27,724"
24-May-16,"27,729"
26-Sep-17,"27,731"
6-Jan-17,"27,732"
22-May-17,"27,736"
18-Mar-17,"27,737"
22-Dec-17,"27,738"
20-Jul-17,"27,739"
19-Oct-17,"27,740"
6-Mar-17,"27,742"
5-Apr-17,"27,745"
21-Dec-17,"27,745"
26-Nov-17,"27,747"
28-Aug-17,"27,750"
11-Jul-17,"27,755"
6-Oct-17,"27,758"
7-Nov-16,"27,759"
14-Sep-17,"27,760"
8-Feb-17,"27,763"
30-Jul-17,"27,772"
23-Jul-17,"27,775"
28-Mar-16,"27,780"
11-Jun-17,"27,781"
27-Nov-17,"27,785"
25-Jul-17,"27,786"
14-Feb-17,"27,790"
7-Oct-17,"27,799"
10-Sep-17,"27,803"
28-Apr-17,"27,804"
3-Dec-17,"27,806"
8-Dec-17,"27,812"
10-Jun-17,"27,813"
26-Dec-17,"27,827"
31-Aug-17,"27,836"
5-Feb-17,"27,842"
28-May-17,"27,849"
13-Sep-17,"27,849"
26-Aug-17,"27,853"
12-Aug-17,"27,864"
1-Dec-17,"27,865"
11-Dec-16,"27,867"
3-Oct-17,"27,867"
23-Nov-16,"27,868"
16-May-17,"27,883"
16-Oct-17,"27,887"
16-Mar-17,"27,891"
16-Feb-17,"27,905"
14-Aug-17,"27,908"
11-Aug-16,"27,910"
16-Nov-17,"27,916"
22-Aug-17,"27,923"
16-Feb-16,"27,924"
6-Jun-17,"27,929"
13-Oct-17,"27,929"
17-Sep-17,"27,939"
3-Aug-17,"27,944"
20-Dec-17,"27,948"
24-Sep-17,"27,956"
4-Nov-17,"27,963"
15-Mar-17,"27,966"
2-Oct-17,"27,967"
18-Oct-17,"27,971"
20-Sep-17,"27,972"
17-Aug-17,"27,975"
19-Aug-17,"27,992"
2-Mar-17,"27,993"
11-Sep-17,"27,998"
25-Mar-17,"28,003"
27-Dec-17,"28,011"
12-Dec-17,"28,061"
1-Jul-17,"28,069"
3-Dec-16,"28,099"
14-Dec-17,"28,133"
1-Nov-17,"28,136"
25-Aug-17,"28,159"
18-Dec-17,"28,188"
3-Jun-17,"28,260"
23-Nov-17,"28,262"
6-Jul-17,"28,268"
25-Nov-17,"28,367"
